0.76,-0.152,0.359284
0.76,-0.152,0.359284
0.7599,-0.15198,0.359316
0.7597,-0.15194,0.359379
0.7596,-0.15192,0.359411
0.7592,-0.15184,0.359538
0.759,-0.1518,0.359601
0.7584,-0.15168,0.359791
0.7581,-0.15162,0.359886
0.7573,-0.15146,0.36014
0.7568,-0.15136,0.360298
0.7558,-0.15116,0.360615
0.7552,-0.15104,0.360805
0.754,-0.1508,0.361185
0.7533,-0.15066,0.361407
0.7519,-0.15038,0.36185
0.7502,-0.15004,0.362388
0.7485,-0.1497,0.362927
0.7475,-0.1495,0.363244
0.7455,-0.1491,0.363877
0.7444,-0.14888,0.364225
0.7421,-0.14842,0.364954
0.7396,-0.14792,0.365746
0.7383,-0.14766,0.366158
0.7355,-0.1471,0.367044
0.7341,-0.14682,0.367488
0.7309,-0.14618,0.368501
0.7293,-0.14586,0.369008
0.7258,-0.14516,0.370117
0.724,-0.1448,0.370687
0.7202,-0.14404,0.37189
0.7162,-0.14324,0.373157
0.7118,-0.14236,0.374551
0.7096,-0.14192,0.375248
0.7049,-0.14098,0.376736
0.6999,-0.13998,0.37832
0.6946,-0.13892,0.379999
0.689,-0.1378,0.381772
0.686,-0.1372,0.382723
0.68,-0.136,0.384623
0.6736,-0.13472,0.38665
0.6668,-0.13336,0.388804
0.6633,-0.13266,0.389912
0.6561,-0.13122,0.392193
0.6484,-0.12968,0.394632
0.6445,-0.1289,0.395867
0.6363,-0.12726,0.398464
0.6277,-0.12554,0.401188
0.6232,-0.12464,0.402613
0.614,-0.1228,0.405527
0.6044,-0.12088,0.408568
0.5943,-0.11886,0.411767
0.5838,-0.11676,0.415092
0.5728,-0.11456,0.418576
0.5671,-0.11342,0.420382
0.5554,-0.11108,0.424088
0.5433,-0.10866,0.42792
0.537,-0.1074,0.429915
0.5244,-0.10488,0.433906
0.5127,-0.10254,0.437612
0.5074,-0.10148,0.439291
0.4987,-0.09974,0.442046
0.4957,-0.09914,0.442996
0.4941,-0.09882,0.443503
0.4822,-0.09644,0.447272
0.4685,-0.0937,0.451612
0.4624,-0.09248,0.453544
0.4512,-0.09024,0.457091
0.4411,-0.08822,0.46029
0.4363,-0.08726,0.46181
0.4271,-0.08542,0.464724
0.4182,-0.08364,0.467543
0.4138,-0.08276,0.468937
0.4046,-0.08092,0.471851
0.395,-0.079,0.474891
0.3901,-0.07802,0.476443
0.385,-0.077,0.478059
0.3746,-0.07492,0.481353
0.3636,-0.07272,0.484837
